Date,open,high,low,close
2/16/2023,821.8,829.2,818.1,823.3
2/17/2023,814.2,823.6,804.6,818.4
2/20/2023,820.5,820.5,810.1,813.6
2/21/2023,808.6,812.3,798.5,808.9
2/22/2023,801.4,812.1,793.9,809.5
2/23/2023,809.7,814.3,806.6,809
2/24/2023,811.4,812.7,777.3,777.3
2/27/2023,788.3,800.2,787.6,794.8
2/28/2023,790,795.8,787.4,789
3/1/2023,803.3,810.5,790.9,792.2
3/2/2023,785.3,805.9,780.9,804.3
3/3/2023,808.6,817.1,804.4,815.1
3/6/2023,826,830.7,820.8,825
3/7/2023,816.7,826.4,815.7,816.1
3/8/2023,805,818.3,804.4,810.4
3/9/2023,809,811,802.6,805.2
3/10/2023,790,807.3,785,802.6
3/13/2023,803.7,805.8,775.5,781.7
3/14/2023,785.3,804.5,782.3,800.5
3/15/2023,797.6,800.4,767.6,774.7
3/16/2023,785.3,809.3,776.7,801.7
3/17/2023,805,808,784.5,787.3
3/20/2023,790.2,810.5,780.7,804.5
3/21/2023,810.7,815.6,803.3,806.7
3/22/2023,804.7,816.8,802.4,814.9
3/23/2023,811.8,821,809.1,820.8
3/24/2023,818,820.6,809.7,813.4
3/27/2023,819.4,821.8,813.1,817
3/28/2023,824.3,831,813.4,814.2
3/29/2023,820.9,830,820.5,822
3/30/2023,827,835.2,821.6,827
3/31/2023,828.9,848.2,828.2,844.4
4/3/2023,840.9,845.2,839.9,844.1
4/4/2023,846,852,840.4,851
4/5/2023,850,855.2,842.2,844.6
4/6/2023,841.6,842.8,826.7,829.1
4/11/2023,837,848,831.4,840.7
4/12/2023,846,846.8,832,836.6
4/13/2023,866,884.5,861.7,883.9
4/14/2023,890.8,894.9,886.6,892.8
4/17/2023,893.5,894.7,869.9,873.6
4/18/2023,870.3,887.1,869.6,877.5
4/19/2023,877,889.5,875.5,885
4/20/2023,880.5,897,880.5,896.5
4/21/2023,890.3,901.1,888.8,901.1
4/24/2023,892.1,904.6,891.6,902
4/25/2023,890,893.9,884.1,889.4
4/26/2023,883.8,883.8,865.7,875.4
4/27/2023,874.5,890.4,872.1,877.1
4/28/2023,878.1,881.3,861.9,871
5/2/2023,874.1,877.6,865.2,868.7
5/3/2023,870,886.5,870,879.2
5/4/2023,877.2,879.6,870.1,873.7
5/5/2023,879.4,880.6,868.4,876.9
5/8/2023,880,887.2,877.8,884.5
5/9/2023,885.1,886.6,873.8,880.4
5/10/2023,878,880.7,869.1,872.3
5/11/2023,873.5,890.3,873.4,887.6
5/12/2023,894.5,902.9,879.2,885.4
5/15/2023,888,894.3,877.1,881.1
5/16/2023,877,878.2,872.7,876
5/17/2023,873.6,877.5,866.4,874.4
5/18/2023,876,880,868.4,872.5
5/19/2023,875.4,881.7,874.3,874.3
5/22/2023,879.1,882.2,877,878.2
5/23/2023,872.8,874.7,834,834.2
5/24/2023,825,825,813.5,817.1
5/25/2023,819.8,826.5,812.1,823.4
5/26/2023,827.9,847.3,826.5,843.5
5/29/2023,849,851.3,839.4,840
5/30/2023,841.7,848.7,835,836
5/31/2023,818.3,828.5,807.6,813.9
6/1/2023,819.8,822.6,800.4,805.8
6/2/2023,816,836,814.8,830.9
6/5/2023,827.9,830.8,813.5,814
6/6/2023,815.3,818.5,809.3,812.3
6/7/2023,810.2,817.5,807,812.7
6/8/2023,806.2,821.8,804.7,818
6/9/2023,820.7,823.3,814.1,820
6/12/2023,829.5,839.4,827.9,834.8
6/13/2023,844.5,850.1,834.5,841.9
6/14/2023,845.4,853.4,845,850
